"dyadidyr","ccode_1","ccode_2","year","stateabb_1","majpow_1","numGPs","numstates","milex_1","milper_1","irst_1","pec_1","tpop_1","upop_1","cap_1","stateabb_2","majpow_2","milex_2","milper_2","irst_2","pec_2","tpop_2","upop_2","cap_2","dyad","conttype","colcont","alliance","distance"
2020979,2,20,1979,"USA",1,5,156,122279000,2033,123688,2659868,225055,56702,0.137216106057167,"CAN",0,4119005,79,16078,288132,24202,5653,0.0117834247648716,2020,1,0,1,737.042541503906
2020989,2,20,1989,"USA",1,5,161,294880000,2240,87722,2745073,247342,63402,0.148238658905029,"CAN",0,9480000,88,15458,300105,27286,9685,0.0119699314236641,2020,1,0,1,737.042541503906
2020991,2,20,1991,"USA",1,7,177,262389000,2110,79738,2827021,252618,64814,0.137137770652771,"CAN",0,11420000,86,12987,285843,28031,10455,0.011731687001884,2020,1,0,1,737.042541503906
2020997,2,20,1997,"USA",1,7,187,276324000,1530,98485,3114015,267901,68503,0.139552921056747,"CAN",0,7801000,61,15553,332197,30004,11751,0.0112028419971466,2020,1,0,1,737.042541503906
2040921,2,40,1921,"USA",1,5,60,1116342,387,20101,622541,108538,28210,0.25322949886322,"CUB",0,17444,18,0,23,3080,393,0.00175491708796471,2040,4,4,0,1826.61560058594
2040933,2,40,1933,"USA",1,7,65,570400,244,23605,649968,125690,36518,0.205140322446823,"CUB",0,7894,13,0,26,3960,867,0.00181721185799688,2040,4,4,0,1826.61560058594
2040934,2,40,1934,"USA",1,7,66,803100,247,26474,689998,126485,36644,0.197442844510078,"CUB",0,12195,13,0,29,4040,901,0.00182438548654318,2040,4,4,0,1826.61560058594
2040960,2,40,1960,"USA",1,5,107,45380000,2306,90067,1421218,180671,50966,0.215443834662437,"CUB",0,175000,46,37,4748,7029,1609,0.00183246715459973,2040,4,4,1,1826.61560058594
2040961,2,40,1961,"USA",1,5,111,47808000,2307,88917,1447002,183691,50941,0.210654854774475,"CUB",0,175000,270,46,4431,7134,1620,0.00374430231750011,2040,4,4,1,1826.61560058594
2040962,2,40,1962,"USA",1,5,117,52381008,2807,89202,1508570,186538,50916,0.209911420941353,"CUB",0,2e+05,270,54,5378,7254,1630,0.00365216284990311,2040,4,4,1,1826.61560058594
2040971,2,40,1971,"USA",1,5,140,74862000,2720,109265,2311854,207661,55560,0.169956237077713,"CUB",0,290000,140,111,12499,8678,1855,0.00225201994180679,2040,4,4,0,1826.61560058594
2040974,2,40,1974,"USA",1,5,143,85906000,2146,132196,2430725,213854,55736,0.15269860625267,"CUB",0,282000,140,250,14384,9162,1956,0.00213790847919881,2040,4,4,0,1826.61560058594
2040976,2,40,1976,"USA",1,5,151,91013000,2075,116121,2536257,218035,55721,0.142462685704231,"CUB",0,-9,125,250,15497,9430,2216,0.00233640428632498,2040,4,4,0,1826.61560058594
